评论,图片
因经常牙龈出血，就团了这个洗牙套餐，因为有牙周上药，是进口的药，电话咨询才知道，跟他们家的另外洗牙套餐还是有区别的，牙周上药是直接打在牙龈里面，是一种缓释型的药物，帮助治疗牙周炎的，之前在别家问过牙周上药进口的要900，没想到这个套餐还包括牙周上药，还是进口的，超划算，赞一个，医生也专业，技术熟练，服务周到，希望我的牙周炎快快痊愈。,"['http://p0.meituan.net/shaitu/3805137badabb45c645df2fca31f93ea219698.jpg', 'http://p1.meituan.net/shaitu/ca869fe281137d51d0247f56d7101d3d269857.jpg', 'http://p0.meituan.net/shaitu/3fa2a1237b3add594e57a4d0665dfb5f182167.jpg', 'http://p1.meituan.net/shaitu/86afd9f8f4e2c21290bb800a9f8747b0257436.jpg']"
非常好的牙科诊所环境一流，服务一流，技术一流从前台到护士再到医生，一切为客户考虑，难得难得,[]
"因为是人生中第一次洗牙,选择比较慎重。然后朋友一直极力推荐。所以最终抽空去了。首先进门第一感觉非常舒服，环境装修设计比较清新另类又不失文艺范。有点咖啡馆和书吧的味道。其次是工作人员服务也很专业，很有耐心和细心。牙科医生更是。整个过程大概就四十分钟不到。洗牙后没有任何不适和疼痛。总之非常满意和享受爱护牙齿善待自己的健康卫生，还是很有必要做到一年一次洗牙的","['http://p1.meituan.net/shaitu/5d3582210e7700f03c9cbabe29a9db8c576402.jpg', 'http://p0.meituan.net/shaitu/1c3da7c5787c76431322aa69e9dfd17b575704.jpg', 'http://p1.meituan.net/shaitu/909b078cd969ec3b697b6ed68aecdf54562046.jpg', 'http://p1.meituan.net/shaitu/110a2b39da3470bc5e5d5a08b8d4be76555357.jpg', 'http://p0.meituan.net/shaitu/7001f30dae04ecf5cda37c977c0acd1b508337.jpg', 'http://p0.meituan.net/shaitu/fdc339130de99635cfd5220bdb8d4d17476206.jpg']"
知道微齿口腔是在电梯看的平面广告，蛮有意思的，印象深刻，一眼惊喜，好特别好不做作，还发现是同一栋写字楼，我在8楼上班，他们在12楼，之前就想着要洗牙，每年都有洗牙的习惯，这个发现，实在太惊喜太方便了，于是，下班就上去12楼，到前台才知道他们在美团有洗牙套餐的团购，就团一个。服务挺好的，有水果咖啡柠檬茶的选择，大概等几分钟，就到我洗牙了，医生技术好棒好赞，洗得很干净，护士的服务态度很好，全程微笑担当，很亲切。值得分享推荐的口腔诊所,"['http://p0.meituan.net/shaitu/110305daf24672aa10df54561178e1f935924.jpg', 'http://p1.meituan.net/shaitu/ddb46bc91ff2fa18d1250ab2754ab4ab41302.jpg', 'http://p1.meituan.net/shaitu/d56b699460c79b72b26e41c05277a18171946.jpg', 'http://p0.meituan.net/shaitu/e0306b3977d18b73b5a1ad3fadd579e259915.jpg', 'http://p1.meituan.net/shaitu/7de64c94c2dcad156392c2180eec5e9264013.jpg', 'http://p1.meituan.net/shaitu/7a2ed2e31396b1cbbb6baba59720749968326.jpg']"
精简一点环境好，态度好，医生技术好，有责任感，助理也是微笑满满。喜欢有吃有玩有小礼物，就算不是去看牙齿，也很愿意窝在这个温馨的环境里。,[]
这是我第一次洗牙，非常难得的一次经历。因为牙齿痒，所以在好大夫在线咨询了几个医生，在美团对比了多家，选择了这家，应该算是最贵的吧，但感觉其他家都是属于莆系的，怕被宰让自己不舒服，于是就选择了体验下来让我感觉自己的选择没有错周五下单提前预约了周六下午过来，进来后还以为自己走错了，整个环境太优雅了，就像是一个主题咖啡馆，护士MM非常热情的接待了我，帮我登记，等待了约半个小时吧医生就空出来帮我洗牙，整个过程约40分钟，洗出好多牙结石，中间漱了好几次口，洗完后有点痛牙结石太多了，洗完后露出牙龈，虽然上了药，但还不是那么适应，医生嘱咐要休息半个小时，护士MM也趁此空隙耐心详细的和我介绍如何保护牙齿方面的知识平常我们都以为刷牙就是清洁牙齿表面，却不知道刷牙是其实应该还需要刷牙龈部分，这样才能把牙结石清洁一部分说的45度角也是指与牙龈部分形成45度角刷牙，而不是我误以为的与牙齿45度角。。。整体下来，我很庆幸自己没有选择其他家的，在微齿洗牙都略微有点不适，若是去了其他家恐怕会更惨，公立医院的死板硬化，莆系的流程与管理混乱总之想让自己舒服，推荐选择微齿。不然也不会这么强力推荐了,"['http://p1.meituan.net/shaitu/2476ae82ca99e7216cad371ba3c012d126099.jpg', 'http://p1.meituan.net/shaitu/d64d345cbeec88061ab5dfa67ff338b729677.jpg', 'http://p1.meituan.net/shaitu/7476626b6bb067a61c5f7d3036a81e5c32151.jpg', 'http://p1.meituan.net/shaitu/b1f7362dea7d20f00fe9aecfae7dec6e45110.jpg', 'http://p0.meituan.net/shaitu/096be8af3143c8d15a2b3241fadc2a6337811.jpg', 'http://p1.meituan.net/shaitu/e4289eda5dc6554af378ffd8d403bc2629502.jpg']"
今天休假就带我妈来洗牙，顺便检查她的牙齿健康，老人家对洗牙都有一个误区，总以为越洗越松，还说会伤害牙齿什么的。不知她从那里得到的观点，让我哭笑不得，不愿来洗牙，还要左哄右哄的，最后我威胁我妈不去洗牙就不去相亲吓我好像暴露了什么，她才来洗牙，让牙医检查后，才发现蛮严重的，有牙结石还有牙周炎，去拍牙片后还发现有两颗蛀牙，藏在比较里面不轻易发现，牙医说两颗蛀牙不会明显痛，但半年后蛀到牙神经才会明显痛，幸好能及时发现。牙齿护理的真很重要，它能陪伴你一生的，吃好吃的美味，露出自信的笑容。但现实生活中，很少有人会注重定期口腔护理，大多数人宁愿花钱去做头发，宁愿去花钱买衣服，花钱去做SPA，花钱去做身体护理，却往往忽略了牙齿也需要定期检查护理，它可是一直陪伴你一生的牙齿。,"['http://p1.meituan.net/shaitu/d52800eb7165f1202548de95fed7b06d237767.jpg', 'http://p1.meituan.net/shaitu/640fc3af41596ff9b5fa48fdbe8179a9174312.jpg', 'http://p0.meituan.net/shaitu/e759f7e8b3767cff5a3b7b0da44f9844242971.jpg', 'http://p1.meituan.net/shaitu/f3ca62d43ca7a9dbb0420c21521552cd286641.jpg', 'http://p1.meituan.net/shaitu/6da29fe72d85d7123a1ca70791e6c894188337.jpg', 'http://p1.meituan.net/shaitu/6aa5374e5a4f402e47e793ce7727b673238223.jpg']"
洗牙洗的满嘴血，大概只有我了吧，牙龈炎比较严重，几年没洗牙了，平时也没有怎么护理，牙医说除了半年洗一次牙，定期护理口腔健康外，更多的是日常的保养和呵护，饭后要漱口，用牙线清洁牙齿，要用适合自己的并且要常换牙膏和牙刷，牙齿的健康才有保证。大部分人对牙齿没有严重危机感，就没想过怕掉了就不会再有了。有一口好牙，才能吃好吃的，也减少牙齿维护的成本。牙医说的有道理，从今以后要好好待我的牙齿，留着它们慢慢陪我到老，享用更多更好的美味。,"['http://p0.meituan.net/shaitu/be91a40742a29ebbdedc45e74771683b199252.jpg', 'http://p1.meituan.net/shaitu/0e28f76d0c05ff5eac9d8b5d2fca56be247161.jpg', 'http://p1.meituan.net/shaitu/4e22fa0fd8e2927d8e96266bab6d6c82234512.jpg', 'http://p0.meituan.net/shaitu/2ad5bc7e7f2bc270c86d7cb99ea18a9b155284.jpg']"
护士很热情，在洗牙前做一些基本问答，就像认识许久的朋友一样的聊天，过程让人觉得轻松舒适，在布置得像温馨的咖啡馆一样的环境，和护士面对面的坐着，手边的咖啡还冒着热气，时不时的抿上几口再聊聊天去洗牙，医生技术也很好，比较有耐心，洗完后，也提出一些建议，很实在有用的口腔护理知识。,"['http://p1.meituan.net/shaitu/4f51b13f1789a053559c6bfb2c77e177240374.jpg', 'http://p1.meituan.net/shaitu/7c99924632ed4bd77f44b093ecf42f8d250860.jpg', 'http://p0.meituan.net/shaitu/9d3aaaf557bf36746e67c32269f4f2d4259704.jpg', 'http://p0.meituan.net/shaitu/34d3fea8ef1f6f7fddaa56034b2d05e2239918.jpg']"
朋友介绍过来的，第一次洗牙，因为诊所在写字楼，环境很好，很温馨的感觉。医生和护士很友好，先做了一个牙齿的检查，指出了一些问题，连平时经常喝茶都被发现了。然后医生建议洗牙，整个流程很仔细，牙上的结石在漱口的时候全掉下来了。洗完后真舒服。,"['http://p0.meituan.net/shaitu/cc2bf694a6136f200bca4682af804b4237848.jpg', 'http://p1.meituan.net/shaitu/f35c4a5c15a0e9654a7d6e5cd7625ef643828.jpg', 'http://p1.meituan.net/shaitu/f7d44e7ac7f7f7ab1028af9c98c079f942242.jpg', 'http://p1.meituan.net/shaitu/3ddccade3a6197b89baea1189333505e42198.jpg', 'http://p0.meituan.net/shaitu/51180e43c170b2c821277619840b760634482.jpg']"
一个星期前团的，昨天预订，今天就过来了。很有情调的一个地方，看的出来老板花了不少心思，没有医院里的药水味和嘈杂，环境总体来说很不错，给人很温馨的感觉我带着宝宝来的，接待的女孩子一直忙前忙后，并耐心的介绍流程美女牙医很认真细致，给我讲解牙齿护理和注意事项。而且现在过来还有小礼品送。毫不犹豫办了会员卡，价格还很实惠哦，以后还要介绍朋友来楼下就是玛莎拉蒂和麦卡伦展厅，闲暇时间可以看看车哦，很好的满足了我。顺便谢谢今天接待我的美女助理和美女牙医,"['http://p0.meituan.net/shaitu/d6de5c74bf1172ea8b871939e2bcbde754059.jpg', 'http://p0.meituan.net/shaitu/b01a92dce3df7f1b0a186819c2fe991b51380.jpg', 'http://p1.meituan.net/shaitu/b932d39a1079f8959d341c9fcdebbd2d58638.jpg', 'http://p1.meituan.net/shaitu/b3daf6dc8000fafb2eac430a89920e5449473.jpg', 'http://p1.meituan.net/shaitu/a1fce2cba35a7491a1c48e9823cf36ad46146.jpg']"
服务态度很不错，位置也好找，就在岗厦北地铁站A出口，深南路的大中华金融中心，洗牙洗的也很干净。之前以为洗牙就是能美白，原来是错误的观点，洗牙就是把牙齿表面的脏东西洗掉，还原牙齿本色，就像衣服脏了要清理干净一样的，哈哈，牙医这样的比喻蛮生动的，易理解。洗牙的同时还能检查牙齿的健康情况，能及时发现牙齿的问题，预防大于治疗。谢谢阙医生的耐心讲解，除了技术棒棒的，讲的口腔护理知识也简单易懂。赞。,"['http://p0.meituan.net/shaitu/b2ce9085de25bb53b7fd991d8fac0e5541125.jpg', 'http://p1.meituan.net/shaitu/6addbb3896d3ac66d84fc035bedca1db41084.jpg', 'http://p0.meituan.net/shaitu/ab9fdae53e2b0812643eb4f31d5da6cb61715.jpg', 'http://p1.meituan.net/shaitu/0f86a5d3dd9a16de70592694dc47adcd56409.jpg']"
这是第三次用我的号拍，第一次和第二次是我和我朋友一起去的，这次是我老婆，我们三个人都在这里办了会员，真的超级好来了以后先是填资料，美女行政沟通也很好洗牙是一个医生，一个助理同时服务，不用自己咬吸管，非常好一个人一个房间，很干净整洁，设备也很新，所以真的是强烈推荐图片看我的上一条评论吧,"['http://p1.meituan.net/shaitu/4a0d05bec2ecf75f54d2a6a81a98d5f1437926.jpg', 'http://p0.meituan.net/shaitu/87825d37dc4175db97ca472134066fa6400546.jpg', 'http://p1.meituan.net/shaitu/4c633e04613ffb784af1394cf67234d8462207.jpg', 'http://p1.meituan.net/shaitu/83513fa2e20b21ec27fba55c59a7da63462569.jpg', 'http://p0.meituan.net/shaitu/7032358d41dfdfb9f8391868359a901d415008.jpg']"
很新式的牙医诊所，重服务，懂客户，这家店的老板真的很厉害这次洗牙体验很好，关键是前台的妹子很热情，服务简直超五星过去之后只用加150就可以办三年无限次的年卡，其实综合起来还是很便宜的唯一需要改进的就是前台妹子一个人要同时接待三个客户，太忙了建议增加人，不要那么辛苦和匆忙,"['http://p0.meituan.net/shaitu/a12241b9dec649cf71e6962ccc88e244102748.jpg', 'http://p1.meituan.net/shaitu/c309becf1e00ee998c517d89362ebe6385387.jpg', 'http://p0.meituan.net/shaitu/5d7653dc0ae55092f62e4f008b238c6071783.jpg', 'http://p0.meituan.net/shaitu/bbe04012fdc6228ac465bfa72fa30b7593762.jpg']"
作为只会用代码与电脑交谈的理工男，诊所的位置还是蛮好找的，但对方向位置没好感的妹纸估计出了地铁找到大中华金融中心C栋都不知在哪入口，因为C栋的大门在大厦后面不是正面它在中信银行旁边的通道也是车库出车的通道穿过去才能看到电梯入口，当然问人更快速找到，上12楼需要登记大堂的妹纸才会给你刷卡上楼高档写字楼的傲娇，出于安全能理解幸好这一切过来洗牙预约时前台的妹纸就有告知，妹纸在微信也发来如何以正确的姿势找到诊所的图片，所以很顺利的到达诊所，嗯，一进来，惊艳一把，满满的都是文艺风，整个环境都布置得很用心，小物件的摆设，还有各种书籍，都让你想一探究竟，软软的沙发，很有家的感觉，让人放心，没有陌生感，也提供一些咖啡或茶的饮品和水果或小吃，前台还挂有医生的执业执照，简介，专业，高端，给人放心。洗牙前前台的妹纸会先了解个人牙齿的基本情况，也填了一些资料，很负责，也方便以后牙齿健康的跟踪，洗牙的医生是任医生，很专业，也和蔼可亲，除了基本的口腔护理知识交流，也会拉下家常什么的，整个过程的体验很赞，为什么要写那么长的评论，甚至有点繁琐，是因为真实体验后，他们的服务真的很用心，很体贴，也很专业，推荐,"['http://p1.meituan.net/shaitu/e63920c0b587d028edf734c372676535188956.jpg', 'http://p0.meituan.net/shaitu/81707675274165e6a5d018d97f81eff0236831.jpg', 'http://p1.meituan.net/shaitu/1de89d99f51d2f36659933f493f89804257738.jpg', 'http://p1.meituan.net/shaitu/04817be56429be8abcfdeebcd32c5a3d238777.jpg']"
第一次团购洗牙，是一个任医生给我洗的，我的牙齿比较娇气，很敏感，幸好任医生比较细心，洗的时候一直问酸不酸，太酸了会弄轻点，洗完牙后对照下镜子，效果还是不错的，为任医生的耐心点个赞，洗个牙，让你不知不觉知晓口腔护理的相关的一些知识，牙齿重在预防，医生技术精湛，护士也很nice，服务好，32个赞,"['http://p0.meituan.net/shaitu/57a8d7c8603da2f44b8c198ebb2814dc97273.jpg', 'http://p1.meituan.net/shaitu/37735c9fa53ba64b49df591d90adaa3b30000.jpg']"
从刚进门就感觉这是一家很不一样的诊所，看门口的布置很有特色，进去之后环境很舒服，有很多书，等待的时候可以看书，不过还有其他好玩的哦，喜欢看电视的话也可以看看电视。我是第一次洗牙刚开始很紧张，给我洗牙的是何医生，很耐心很温柔，给我介绍洗牙过程后，心里的紧张感就削弱了很多，洗的时候动作很轻，我都快睡着啦,"['http://p0.meituan.net/shaitu/5dc0df69bc7a93ff39404e1abdba0010218987.jpg', 'http://p0.meituan.net/shaitu/32cfaccd59865c2d18fbab07f091e9df310393.jpg', 'http://p0.meituan.net/shaitu/6461dee949e2c87d17f6854ed45ece68289291.jpg', 'http://p0.meituan.net/shaitu/03a8f22858be06a1c6aa9d4cb16c6352166186.jpg']"
环境干净明亮，接待的妹纸也很热情，还有点小幽默，看得出他们在这里工作很开心，第一次来洗牙，有点小紧张，还好医生很温柔，会先聊下天，让你放松下再开始洗牙，眯着眼，只听到哧哧的声音，偶尔起来漱下口，吐出脏东西，医生说有的是牙结石，医生的动作很轻，把握有度，很会顾及我的感受，也把牙齿洗得干干净净，医生说我有牙周炎，有点严重，洁牙喷砂抛光后最后也给我涂氟，还有牙周护理上药，医生很负责，真的很好，非常值得信赖，值得推荐。,"['http://p0.meituan.net/shaitu/65b1482776c0579623a37d1dca8a89ff82278.jpg', 'http://p0.meituan.net/shaitu/b727b0a83bb3a9fe5fe2505c0a1a16a4129029.jpg', 'http://p0.meituan.net/shaitu/b27ca196cd88f0d219299633d037b84d124928.jpg', 'http://p1.meituan.net/shaitu/c1525f0d53c22625b48561d718ddf44186156.jpg']"
每年都有洗牙的习惯第一次来这家，服务很好，医生也很专业。洗完后还有用牙线清洁的环节。总之很专业很贴心。,"['http://p0.meituan.net/shaitu/b1bebc299f29f0d148c12691528598a8172151.jpg', 'http://p0.meituan.net/shaitu/3388e457feb5b0c7ffe2da2d7791b8ff261998.jpg', 'http://p0.meituan.net/shaitu/4b1ff27985b7120c1f4aa9ccb13a2f16190014.jpg', 'http://p0.meituan.net/shaitu/76c5852952aaa1870fbf3b024ab6e0af228140.jpg']"
洗了个牙，发现一颗裂牙，顺便就拨了，这里的环境和服务非常好，卫生干净看着放心，医生也细心，技术也到家，办了个会员，拨牙才360，新开的会员有礼品，送的是手工板画和蜂蜜，据护士说，手工板画是她们插画师的纯手工画的，很用心的杰作，我女儿也很喜欢画画，拿个板画回去给她应该会很喜欢。对了，它们这里摆设的小物件很有意思，也有很多书，看样子他们诊所真的很用心，注意每个细节。较放心的口腔诊所，值得推荐，以后也不用跑去医院排队看牙了。去医院看牙花时间不说，还服务态度不好,"['http://p1.meituan.net/shaitu/11d6dc6476db7f46439f5b853ffdb8a8276839.jpg', 'http://p1.meituan.net/shaitu/13bd3e01af2a238610693ff3729c99fc237558.jpg', 'http://p1.meituan.net/shaitu/d48e087705ea10065e0cbde21de1150a263029.jpg', 'http://p1.meituan.net/shaitu/9a8e4e62cec206f537826ce2d6b5bd54306023.jpg', 'http://p1.meituan.net/shaitu/21b0d442ea65dbda22ac9a85e260a959179419.jpg', 'http://p1.meituan.net/shaitu/cea116193c5ab708c7b4af888ba0e1f2298944.jpg']"
很棒的一家牙科诊所，家一样的感觉，医生负责，护士态度也好，价格实在，还有他们现做的下午茶，还有很多书，给个大大的赞,['http://p1.meituan.net/shaitu/4786281ae3c024f179a547cee38f433069826.jpg']
知道微齿口腔诊所是看朋友圈推荐的，有朋友来洗牙，体验一把后觉得不错就分享到朋友圈，也咨询了朋友，然后就来美团团购一个洁牙套餐，是给我小孩团购的，自从有了孩子，对孩子包括家人的口腔健康越发重视，外面的牙科诊所太多，太杂了，一家接一家，所以选择也特别小心。到微齿口腔后，感觉还不错的，比较高大上，很温謦，不像外面的诊所那样冷冰冰的感觉，整个就诊过程很满意，医生也很专业，就是我家小孩不愿意走了，因为可以窝在软软的沙发上打游戏，足足呆了一下午，后来好哄好拽才把小孩弄回家，在陪小孩打游戏的过程中还会送上水和点心还是很贴心的。很人性化的服务，赞一个。极力推荐,"['http://p1.meituan.net/shaitu/caf378239fa4e9d9a51910aa38cde60580311.jpg', 'http://p0.meituan.net/shaitu/1e19a497527d6707bc95224daf361da671039.jpg', 'http://p1.meituan.net/shaitu/89a028fe3475fe75b206d1341b22508281503.jpg', 'http://p0.meituan.net/shaitu/16d0ad6785bed17a3d1561853bf302a889766.jpg', 'http://p1.meituan.net/shaitu/30ac1ab9969ba8b778104cb71b757de359822.jpg', 'http://p1.meituan.net/shaitu/875ec50dff61c4f88508626566e73dff84308.jpg']"
医生尽责，护士也热情，环境很赞，前台也酷，看到医生的执业介绍，简直是艺术家的风格，蛮蛮的文青气息，工匠精神，很有意思，即使是一间医疗诊所，也很有温度，不再是冷冰冰的医生与患者关系，只有来体验了，才明白他们的用心，他们的专业，值得推荐,"['http://p1.meituan.net/shaitu/ce8af7bd4f5e3f789e3ee76ad9dcbdb3225186.jpg', 'http://p0.meituan.net/shaitu/7b9ee0e200dbc08f1abd25299d240707215270.jpg', 'http://p1.meituan.net/shaitu/f878ffe1294a5f4d5207ff117738b9ac206545.jpg', 'http://p0.meituan.net/shaitu/6566eaa7d1fce3bf6fc5472b52c84f5d262800.jpg']"
服务很好，客服和医生都很好沟通，老公先开洗的，推荐我来体验，口腔环境还可以所以感觉比较快，单间一个医生一个助理环境也算比较温馨。有茶水小食，服务很周到。推荐尝试。,"['http://p0.meituan.net/shaitu/d6934a89e22f90dfb3605a91f25b99a7297323.jpg', 'http://p0.meituan.net/shaitu/633e4b23c394d53ba3c47360c37610de211275.jpg']"
地方环境非常不错，是我喜欢的格调，前台小美女护士的介绍很专业，很热情，还送上水和水果，服务周到贴心，洗牙的医生技术也较好，还会一边洗一边介绍洗到那个步骤了，让人放心放松，整体还不错，给好评对了，还了解到，他们是会员制服务，加入会员是能免费洗牙的，一年洗一到两次，护理口腔健康，都说预防大于治疗，还是蛮有必要的。,"['http://p0.meituan.net/shaitu/c67239c52a5831c3ccc27127cdec736054322.jpg', 'http://p1.meituan.net/shaitu/5f9fbadec2bef593dee2955f081e326962793.jpg', 'http://p0.meituan.net/shaitu/17284dee60a60851926c72a9fea9883078541.jpg', 'http://p0.meituan.net/shaitu/a5016bcba2fe2379700c926fafef478f62689.jpg', 'http://p1.meituan.net/shaitu/f0cf33060c8b878e49dc1a7c233ca95778468.jpg', 'http://p1.meituan.net/shaitu/114a9bd902962e0dae253f82c972044a60163.jpg']"
"拍照不费体力，分享不费脑力，有美好的事物分享给朋友也是一种美德对吧,不是第一次团购洗牙,一直有保持一年洗一次牙的习惯，这次团购贵些，去体验一把，还真是物有所值的，首先位置比较好找，在CBD，出了地铁站走过马路对面就是了，诊所环境很赞，满满的都是文艺气息，不像别的诊所那样冷冰，护士服务也周到贴心，送上水喝和水果零食，等10分钟左右就轮到我去洗牙了，给我洗牙的是男医生，很亲切，拉下家常八卦，放松放松，也安利一些口腔护理知识，洗的过程也很专业，有耐心，洗了40多分钟，清洗洁治护理拍片涂氟牙周护理，真是超标准，贵有贵的标准，不无道理，值得推荐。","['http://p0.meituan.net/shaitu/e7db0183eb2cc75047578f9991667244233294.jpg', 'http://p1.meituan.net/shaitu/8901da115441f7f3f1d2510eaa414788213635.jpg', 'http://p0.meituan.net/shaitu/a76720eb373dcb1de447a2e10cc2d57c188002.jpg', 'http://p1.meituan.net/shaitu/3e2952cc70773dc26893eca8018aeff0247732.jpg', 'http://p1.meituan.net/shaitu/d625ae9fe2ac8b5f2e3c22e0e59bbd7d192180.jpg']"
一楼像家的感觉很温馨操作室环境也很干净卫生景观也很好医生很细心，洗牙洗的很仔细洗完上药，感觉很不错,"['http://p1.meituan.net/shaitu/fbb50d0b29debce3f815afbddd2d3f5a255611.jpg', 'http://p1.meituan.net/shaitu/c7efec90fc2c1b8a34c0c8f60a6ce9be211602.jpg']"
是很舒服的地方，一楼是办公区域，二楼是工作区域，一楼的装饰很容易放人放松心情，我爱人洗了个牙，还挺干净的而且很好而且前台妹妹还会告诉我们一些牙齿小知识，虽然洗一次牙300不便宜，但是办一张450包三年的会员还是挺划算的,[]
前台美女服务很好，很热情，还有小点心吃。洗牙医生服务也很棒会给你讲一些牙齿护理的小知识办了张会员卡，以后就来这儿啦值得拥有很棒还送了礼品蜂蜜,[]
超棒的牙齿诊所，效果很好，强烈推荐医生护士服务很周到，态度非常好，。不同于其他地方，这里没有推销其他产品，和负责人聊了一会儿，感觉他们真的在认真把这个当事业做，理念比较新颖，希望能越做越大下次洗牙只选这一家,[]
环境很好，服务也很好，态度也不错，效果也挺好的，不过可能是自己平常护理不够，感觉牙龈原来有点黑的地方，医生说洗掉了牙结石的那个地方又有些复发了，,[]
门口有个贱贱的漫画像，蛮可爱的，显示这家店的独特个性，的确，走到店内，满满都是文艺风，书架上很多书，不同类型的书都有，对于书迷来说，是个好地方，还有炒鸡舒服的沙发..都忘了我是来洗牙的哈，护士服务很到位，医生也专业，很愉快的一次洗牙体验。,"['http://p0.meituan.net/shaitu/8edfc811ec7e7ec74bea073f8422a143252196.jpg', 'http://p0.meituan.net/shaitu/d78262cd01cd41b2d67886ae80715024287887.jpg', 'http://p1.meituan.net/shaitu/d473e9f827f840f4cccbec472574c021308079.jpg', 'http://p1.meituan.net/shaitu/7caa9bde40e0e137a3970ea5b2607254294529.jpg', 'http://p0.meituan.net/shaitu/86d3c4d581cf5a6a837360d96c10afa7222461.jpg', 'http://p1.meituan.net/shaitu/f7ac6eb4f798f0588a90fce1b4f3cd25309295.jpg']"
环境很好，是我喜欢的文艺范儿，很热心，不检查不知道自己满嘴问题。慢慢治疗。,"['http://p0.meituan.net/shaitu/e44ecef6e4824d2255d4546ff827e67940807.jpg', 'http://p0.meituan.net/shaitu/980899c1c8da32fa199eedda9b69452260811.jpg', 'http://p1.meituan.net/shaitu/a578ea5e3e63a05ecf842169299e6d0151781.jpg', 'http://p1.meituan.net/shaitu/ebcca6be3d0b1b056fd84c997513b32f55933.jpg']"
去之前会觉得这是让人耳目一新的诊所去了之后发现果然不一般。因为比预约时间早到很多在等待的时候会有护士送来贴心的咖啡现磨的喔还有她们自己烘培的华夫饼味道也棒棒哒在诊所里听着歌简直比咖啡厅还咖啡厅。到我洗牙时有护士接待上楼全程洗牙给我的感受就是医生很专业很细心会给我科普蛮多的口腔知识告诉我平时正确的刷牙方式怎么使用牙线还有我目前的口腔问题需要怎么解决还讨论了一些方案很信任这里的医生所以好傲娇的说我也有自己的牙医哦所以后来果断的买了个会员因为听说终身会员要涨价顺便po张照感受感受ps令我感到的是环境上居然卖家秀和买家秀惊人的一致耶。,"['http://p1.meituan.net/shaitu/e67048bb31dd79611f3fba5ca8a43b3e268489.jpg', 'http://p0.meituan.net/shaitu/00ca552319d4a04501fa41fec35d0a5a307331.jpg', 'http://p1.meituan.net/shaitu/192d39bdfa169c9cfe0d54095869f3bb224977.jpg', 'http://p1.meituan.net/shaitu/bc04f34a697429a653d4bbe30aaf1b25182718.jpg']"
