评论,图片
我是第1次来鹏程医院做项目先从1楼填了资料然后见了美学老师然后安排了帮我核销就上来了3楼我选的是进口保妥适的除皱住了眉间纹有一点点纹这里的服务挺好安排了李东伟院长帮我做治疗很满意以后都过来这家医院交通方便,"[{'id': 1840404129, 'url': 'https://p0.meituan.com/mtptimg/d95a6d0c107696594eb658f6b6f721cb94616.jpg'}]"
第一次来鹏程医院这里的交通很方便服务这里很好茶水呀笑容呀都比较好选的是保妥适一次先试一下进口的医生小姐姐给我推荐范主任美女医生很多老客户的对鱼尾纹比较不满意所以想要通过做治疗来解决这个难题体验感非常满意想改善的问题鱼尾纹医生操作范主任项目效果保妥适商户服务很好,"[{'id': 1798042598, 'url': 'http://p1.meituan.net/shaitu/67a095406e08355c25dee60c1539ab25120090.jpg'}, {'id': 1797715032, 'url': 'http://p0.meituan.net/shaitu/ded9dc832bf2414e36b25f74501dd1d1190139.jpg'}, {'id': 1797944785, 'url': 'http://p1.meituan.net/shaitu/1cc02d070d6d5fd8b176a37d4ca2bb8d113664.jpg'}, {'id': 1797715031, 'url': 'http://p0.meituan.net/shaitu/8d24ea4fb6c52923741fec10272c6857149448.jpg'}, {'id': 1798042596, 'url': 'http://p0.meituan.net/shaitu/b4ef9ddc570aeb1fb0ceff7349193891149939.jpg'}, {'id': 1797882371, 'url': 'http://p0.meituan.net/shaitu/d99ea08eb668e0ebdab207aa6bcf8e23130388.jpg'}, {'id': 1798042597, 'url': 'http://p0.meituan.net/shaitu/67d323d5cb5fedc5afbddebd5c0ffcf4160928.jpg'}, {'id': 1797882372, 'url': 'http://p0.meituan.net/shaitu/bd37969d00c677df47a5f007dbd9919b188283.jpg'}, {'id': 1797794001, 'url': 'http://p0.meituan.net/shaitu/bfe8ca73c20c78dc2809606b1b5d1761147227.jpg'}]"
一进大门感觉环境挺好的接待人员也很热情主要想解决局部色沉的问题安排了医生面诊后安排了池医生给我做这是第一次刷酸医生的操作手法很温柔全程会关注皮肤状况治疗后耐心交代了注意事项整体的服务体验都很好期待疗程过后的效果,"[{'id': 1826916542, 'url': 'http://p0.meituan.net/shaitu/77b4a13c2cdcea0f640f7fcb4ccd4b92234579.jpg'}, {'id': 1826916541, 'url': 'http://p0.meituan.net/shaitu/eb3a981984e78393682c323aad2f0d7d284791.jpg'}, {'id': 1826971489, 'url': 'http://p1.meituan.net/shaitu/ce85cb8ddac97c86206d69d140109ee3236884.jpg'}, {'id': 1827140315, 'url': 'http://p0.meituan.net/shaitu/43c7369205fe791addfe9ed44ac178f9256739.jpg'}, {'id': 1826971490, 'url': 'http://p0.meituan.net/shaitu/505b4a694251c268e92845cdb1e9fb4d188190.jpg'}, {'id': 1827233638, 'url': 'http://p1.meituan.net/shaitu/69175d49b496c6193d1b2691f4ec833d352563.jpg'}]"
项目效果项目祛颈纹效果很好在准备打过很多很多次了挺信任鹏程医院的商户服务商家服务也很好有在这边打了水光针然后就上三楼打了嗨体颈纹在这边有做了几年的项目了每次直播都会看想改善的问题主要是想改善一下颈纹的问题医生操作医生操作很专业很细心打的很好就是很专业的那种顾问小姐姐也是术中感受打的时候感觉不痛不敷麻药也没关系可以推荐给身边的朋友有很多朋友都在这边做鹏程医院yyds,"[{'id': 1777100910, 'url': 'http://p1.meituan.net/shaitu/0b5fe3924dce712f3d2c671e5c7a567f101350.jpg'}, {'id': 1777018937, 'url': 'http://p0.meituan.net/shaitu/2a9c79a0f5bb8df6bcce55155aed82a01700518.jpg'}, {'id': 1777100911, 'url': 'http://p0.meituan.net/shaitu/af54aed788fc0a3436bb4c065c27e2ce1892986.jpg'}, {'id': 1777160681, 'url': 'http://p0.meituan.net/shaitu/68413332b6e4718988c5b5f4921dd51e1928282.jpg'}, {'id': 1776918230, 'url': 'http://p0.meituan.net/shaitu/83d9698ac13b32dd52b08d71ac74bff3100283.jpg'}, {'id': 1777160680, 'url': 'http://p0.meituan.net/shaitu/4202e257dad6d3d77b4b05aaeb0b50441765590.jpg'}, {'id': 1777100912, 'url': 'http://p1.meituan.net/shaitu/fc34187eb040da547925ab1712049a6e1850473.jpg'}, {'id': 1777248605, 'url': 'http://p0.meituan.net/shaitu/44cd83aed7a2eb019509879408c38044109810.jpg'}, {'id': 1777100909, 'url': 'http://p0.meituan.net/shaitu/15f291d1566984fa7251d2764ae71bc7107105.jpg'}]"
项目效果在这边做了超级多超级多次光子嫩肤了主要是想改善脸部痘痘的情况效果挺好的所以一直在这边做想改善的问题主要是想改善痘痘痘印毛孔的情况还想提亮一下肤色肤质每次感觉皮肤一次比一次好医生操作医生打的时候体验感还可以主要是痘痘的地方比较痛因为有痘痘的原因吧商户服务鹏程医院的服务还是很好的细心贴心术中感受中间有敷一种很舒服的东西做完有给我敷面膜特别好退红特别快光子嫩肤真的绝绝子,"[{'id': 1766197426, 'url': 'http://p1.meituan.net/shaitu/31f4211f4e5a199407858408d7c6a28b144558.jpg'}, {'id': 1766350775, 'url': 'http://p0.meituan.net/shaitu/600b3e1432b97152c564264af98114b085828.jpg'}, {'id': 1766286361, 'url': 'http://p0.meituan.net/shaitu/6416e3d0be26593fb1c95f51fa4618ba48768.jpg'}, {'id': 1766440846, 'url': 'http://p0.meituan.net/shaitu/929e98134c0d1259ac570240e960f2dc73872.jpg'}, {'id': 1766350774, 'url': 'http://p0.meituan.net/shaitu/b84b35293fa4045b8f3d0ee821dd7cbe63795.jpg'}, {'id': 1766286362, 'url': 'http://p0.meituan.net/shaitu/41840f6069ded1c1def1d134ddfc565b88966.jpg'}, {'id': 1766540213, 'url': 'http://p0.meituan.net/shaitu/aec23d696b51e70c0f229e720f715b85125536.jpg'}, {'id': 1766540214, 'url': 'http://p0.meituan.net/shaitu/d2a97b73ec13540d86f1739111a994c495638.jpg'}, {'id': 1766197425, 'url': 'http://p1.meituan.net/shaitu/26feff4ad315ad93f401cde853ec126668775.jpg'}]"
m22水光这次做两个项目m22水光头项目效果嫩肤紧致提亮肤色服务服务小姐姐有热心接待引导服务很贴心哦医生操作医生治疗的很细心经常询问是否疼痛感如何真的很贴心还会根据我的脸部状态进行改善的方案想改善问题亮肤紧致补水术中感受m22基本上没有感觉可以提亮肤色打完脸微微热水光疼痛感很小感觉后期会有效果一定会坚持做的第一次体验这家医院真心感觉服务是比较贴心的可以推荐来做的,"[{'id': 1781865491, 'url': 'http://p0.meituan.net/shaitu/099549772117584af5db98c1bea37bb757122.jpg'}, {'id': 1782043827, 'url': 'http://p0.meituan.net/shaitu/654c909a4b4d8ff950b9eafbf1ffe5b561734.jpg'}, {'id': 1781789683, 'url': 'http://p1.meituan.net/shaitu/e1d51e07c603548b98568a1c71f3c0e142059.jpg'}, {'id': 1781865492, 'url': 'http://p0.meituan.net/shaitu/c04e56965af6c981c74d218679b480a551556.jpg'}, {'id': 1781789684, 'url': 'http://p0.meituan.net/shaitu/89ac002891948806b265d88fcf4dc43f40126.jpg'}, {'id': 1781704958, 'url': 'http://p1.meituan.net/shaitu/c5d30d27f6e06f67f9186c473f7758cc64950.jpg'}, {'id': 1781963876, 'url': 'http://p1.meituan.net/shaitu/907cedd4808cd9ee18dda2e2d13c231868056.jpg'}]"
本来是要做光子嫩肤的不过美容顾问建议果酸和光子一起做效果更好就现场又团了一个果酸券之前在别的机构现场买要200现在美团买128也很划算啦洗脸和敷面膜是需要自助的不过小哥哥小姐姐们非常热情倒是没那么麻烦不过现场附加活动太多啦加了好多视频号企业号公众号顾问微信号有点太多了,"[{'id': 1808253342, 'url': 'http://p1.meituan.net/shaitu/227e191727acd3e37d3660a46fa02691140821.jpg'}, {'id': 1808178016, 'url': 'http://p1.meituan.net/shaitu/52e076aedbeff38e134f7a8b3822dde3113566.jpg'}, {'id': 1808178017, 'url': 'http://p0.meituan.net/shaitu/36950f548ef8864787e074ca2d8185da93972.jpg'}, {'id': 1808341932, 'url': 'http://p0.meituan.net/shaitu/0fb0961a2bb20724eb0993319d19fcd5109539.jpg'}, {'id': 1808129548, 'url': 'http://p0.meituan.net/shaitu/a78bcacd92add869abc7b0c510924183216004.jpg'}, {'id': 1808440386, 'url': 'http://p0.meituan.net/shaitu/118f8b9752921ec5675566404d31cbee175002.jpg'}]"
位置很好找第一次来就找到了园岭地铁站c口走500百米左右就到了服务挺好的面诊先说脸上比较需要治疗的是啥然后就会带你去做治疗全程有人一对一跟着你解答你的问题因为我是第一次来做项目啥都不懂然后他都会很详细的告诉你小哥哥叫徐元峰很负责很耐心的解答问题人也很真诚没有其他的套路也没有隐形的消费很赞给我做项目的涂涂老师也很温柔哈哈哈技术也很好会根据你的皮肤给你设置参数还有尽量错开姨妈期来做项目推荐来试试哦,"[{'id': 1777148310, 'url': 'http://p0.meituan.net/shaitu/1bbea2b6f2e88e7e67b257e922913ded956428.jpg'}, {'id': 1777148309, 'url': 'http://p1.meituan.net/shaitu/7aa2b5ae139ae1335f2a8c00a2a36421935092.jpg'}, {'id': 1776905871, 'url': 'http://p0.meituan.net/shaitu/4bb957563501c398d1eefe3a1ef94949756523.jpg'}, {'id': 1777236273, 'url': 'http://p0.meituan.net/shaitu/dffc173d9a2d48d5ac72927dc3b5929f988647.jpg'}, {'id': 1776905870, 'url': 'http://p0.meituan.net/shaitu/950cd60b21b7f23df6ea3bf0c1988cee965184.jpg'}, {'id': 1777006442, 'url': 'http://p0.meituan.net/shaitu/38f7eacc859ef3f25405132ef4f0822e820668.jpg'}, {'id': 1777006443, 'url': 'http://p1.meituan.net/shaitu/67c9d2226a1765b081e636ed915e6f1c951457.jpg'}]"
想改善问题面部痘印以及面部红血丝问题项目效果今天来鹏程医院体验了黑金超光子DPL以前没有做过第一次体验感觉很好瞬间感觉自己的皮肤做完之后嫩滑了很多非常推荐大家来购买体验医院的服务服务态度很好医生治疗手法特别专业院内环境也不错整体下来的服务感觉都很好不管是前台还是助理都很有耐心有什么问题都很温柔的给你解答专业手法李医生手法特别专业人也很漂亮治疗过程还和我边聊天缓解我的治疗紧张感非常推荐这家医院和皮肤科的李医生,"[{'id': 1766261967, 'url': 'http://p1.meituan.net/shaitu/70ce47d0f417c83e315d10a3da29e086652459.jpg'}, {'id': 1765926379, 'url': 'http://p0.meituan.net/shaitu/55b1d360ef42f95d13f45faf7044ab4e2230689.jpg'}, {'id': 1766261968, 'url': 'http://p0.meituan.net/shaitu/4d976d30722071b27c4f5b28521e40ea1839321.jpg'}, {'id': 1766173032, 'url': 'http://p1.meituan.net/shaitu/d8d97af4a12049d7c1f0d4fffbae76222150385.jpg'}, {'id': 1766261969, 'url': 'http://p0.meituan.net/shaitu/0d3b6df4452771827f21614b88a23c7f740263.jpg'}, {'id': 1766115611, 'url': 'http://p0.meituan.net/shaitu/cfdcbcf5aa897eda13671e0d8dd191b2592444.jpg'}]"
项目效果在这边打了太多次了有差不多三年了19年开始就是在鹏程医院唐主任这里打效果挺好的每一次都满意商户服务在这边感觉这个医院服务挺细致耐心的服务也很满意想改善的问题主要是想改善眉间纹的问题因为皱纹有点明显所以要填充一下主要是唐主任打的好医生操作唐主任操作很细心轻容不痛可以忍受舒适度高真的挺相信鹏程医院的可以放心来找唐主任给你们打有推荐挺多朋友来这边的哈哈哈哈环境很好交通便利地铁公交都可以安利,"[{'id': 1766191733, 'url': 'http://p0.meituan.net/shaitu/e5d1d30189a4574264308539adf2374662000.jpg'}, {'id': 1766280626, 'url': 'http://p1.meituan.net/shaitu/9028f85c38fb33ce64d841f8235ceb4c89313.jpg'}, {'id': 1766345030, 'url': 'http://p0.meituan.net/shaitu/ab6c53f63104c216f6f8aba1f59503c282739.jpg'}, {'id': 1766345026, 'url': 'http://p0.meituan.net/shaitu/dda4ca98ba05c18de3174a94fbaecbcb94030.jpg'}, {'id': 1766191732, 'url': 'http://p0.meituan.net/shaitu/846bff5944e24b26f9013a79dd23c54899151.jpg'}, {'id': 1766534492, 'url': 'http://p0.meituan.net/shaitu/95af8deeda5ef9a392347f81cd031b4d69812.jpg'}, {'id': 1766434962, 'url': 'http://p0.meituan.net/shaitu/3243e3409ab5e04c2e04e408d8677b2260540.jpg'}, {'id': 1766534489, 'url': 'http://p0.meituan.net/shaitu/8b82c70b923c005c8258a29de211b02694399.jpg'}, {'id': 1766434957, 'url': 'http://p0.meituan.net/shaitu/ee9caec64beca88181643b71dc72d2f395379.jpg'}]"
见完医生抽完血马上手术了来了一个顾问说我不合适做埋线抽了三管血其他医院都抽一管浪费我的时间问她就是一句话我们医院就是这样的言下之意是投诉也没用啰没见过这么无理的医院这是黑社会吗,"[{'id': 1821777274, 'url': 'http://p0.meituan.net/shaitu/1b61875e066ea61b7c3a98122b25a97f1366726.jpg'}, {'id': 1821610289, 'url': 'http://p1.meituan.net/shaitu/2bd0d4a16177b0054e3605951ca1f6f51527299.jpg'}]"
,[]
今天是第一次来鹏程医院因为想改善一下脸型所所以在美团上面买了一次挺期待自己脸变小的想改善的问题主要是想改善自己的脸型今天是第一次打刚开始还是有一点点害怕的害怕会有一点点疼因为以前没有打过医生操作是唐主任帮我打的因为朋友跟我推荐过唐主任都说唐主任打的很好所以选择了唐主任ys术中感受唐主任特别细心打起来一点都不痛而去特别专业强烈推荐唐主任噢哈因为唐主任真的打的特别好绝绝子体验感很好医院服务也特别好,"[{'id': 1833120378, 'url': 'http://p0.meituan.net/shaitu/83554d0f58c2f1a420d37d78f2522c41228160.jpg'}, {'id': 1833360070, 'url': 'http://p0.meituan.net/shaitu/d3aacc826523bc9d34bc84f40b243c84226127.jpg'}, {'id': 1833288155, 'url': 'http://p1.meituan.net/shaitu/fa36cee929057f6c3b751820beaa36de358768.jpg'}, {'id': 1833453051, 'url': 'http://p0.meituan.net/shaitu/eea561e450ff0d6094c1ff421a5fea12377294.jpg'}, {'id': 1833120379, 'url': 'http://p0.meituan.net/shaitu/853097d482a965d2064c5492310d2417420448.jpg'}, {'id': 1833288154, 'url': 'http://p1.meituan.net/shaitu/bf8f564927fd404112f5013ec13b2796336567.jpg'}, {'id': 1833120380, 'url': 'http://p0.meituan.net/shaitu/81ba25a0961f67c8df64310d6c94410b596454.jpg'}, {'id': 1833453052, 'url': 'http://p0.meituan.net/shaitu/1e7774b7e0407993e9d038410b061801307524.jpg'}, {'id': 1833360071, 'url': 'http://p0.meituan.net/shaitu/c7e1d6320577bfa49bd47418a63a88da334458.jpg'}]"
医院环境不错交通也很方便出地铁五分钟就到了这边的医生挺耐心的会一直和你说治疗后的注意事项助理小姐姐也挺热情和耐心的总之是不错的体验哦值得再过来哦会先帮你检查肤质才选适合你的方案也不会乱推销,"[{'id': 1832890998, 'url': 'http://p0.meituan.net/shaitu/0f79505c2c5074dad25999767766f912627107.jpg'}, {'id': 1833049122, 'url': 'http://p0.meituan.net/shaitu/6cf9cf7cd138bc2b329d1501d2e22169601822.jpg'}, {'id': 1833142316, 'url': 'http://p1.meituan.net/shaitu/a448881a6d9723db76e538ad39a8dc4a683251.jpg'}, {'id': 1832819124, 'url': 'http://p1.meituan.net/shaitu/8715c1adcbc5783fef401a7cf9b0e145633494.jpg'}, {'id': 1832981786, 'url': 'http://p0.meituan.net/shaitu/b534759c81a468963c0e28d230f6fb93705116.jpg'}, {'id': 1833049121, 'url': 'http://p0.meituan.net/shaitu/280aa5534f2a92d425ba535c75b696ba737335.jpg'}, {'id': 1833142315, 'url': 'http://p0.meituan.net/shaitu/c92dfdbc45b4f73d3c882c25344a8475703289.jpg'}]"
环境不错态度很好很细心治疗专业,"[{'id': 1833036037, 'url': 'http://p0.meituan.net/shaitu/7145bbe1b0bac17fee34133088ff4de1447817.jpg'}, {'id': 1832878686, 'url': 'http://p0.meituan.net/shaitu/34edbe08fc6f84df251bf2767bfba9581623770.jpg'}]"
医院环境很好设备卫生齐全服务态度很热情治疗也很专业做得放心,"[{'id': 1832729291, 'url': 'http://p1.meituan.net/shaitu/16e5e50f9c05471ef7095af52f465ebc455242.jpg'}, {'id': 1832968535, 'url': 'http://p0.meituan.net/shaitu/20af5ebc571e6653ca477aa22fd4d58e292020.jpg'}, {'id': 1832729292, 'url': 'http://p1.meituan.net/shaitu/f78215f83a820123802bbf7a5cdea07a1877100.jpg'}, {'id': 1832968536, 'url': 'http://p1.meituan.net/shaitu/3c0cd1c43ea9bda6a82fc92eaea3b511520751.jpg'}]"
今天是女儿带我一起来的今天在准备打个眉间纹和鱼尾纹以前有在这边打过鱼尾纹效果挺好的所以这次搞活动又在这边买了一个商户服务医院服务挺好的很热情很细心想改善的问题主要是想改善一下皱纹的情况项目效果以前有在这边打过鱼尾纹效果还可以所以这次美团搞活动女儿又带我一起来了医生操作是李院长帮我打的很热很细心不痛特别专业术中感受因为有敷麻药所以打的时候并不痛,"[{'id': 1832094711, 'url': 'http://p0.meituan.net/shaitu/ffa7c593e9941bd07832869773b0ddd682416.jpg'}, {'id': 1832188523, 'url': 'http://p1.meituan.net/shaitu/1b8c6eedf935721eddb0ff25a2a3042992689.jpg'}, {'id': 1832269188, 'url': 'http://p0.meituan.net/shaitu/6bef41108dfbf113737b70a3bef7d45268915.jpg'}, {'id': 1832188522, 'url': 'http://p1.meituan.net/shaitu/43b0852a9b1d781a4d12c3b0cd6c581260556.jpg'}, {'id': 1832027513, 'url': 'http://p0.meituan.net/shaitu/6d45437e67670ed69328ed95c5ce93d473295.jpg'}, {'id': 1832269189, 'url': 'http://p1.meituan.net/shaitu/8c90c592c4dad91515484c8be5b5fc9978476.jpg'}, {'id': 1832027514, 'url': 'http://p0.meituan.net/shaitu/9f0604c3e7e60bc5f3394bc9fff44358101176.jpg'}, {'id': 1832094712, 'url': 'http://p0.meituan.net/shaitu/cec48d2f59436a851b56a877538c784071309.jpg'}, {'id': 1832341051, 'url': 'http://p0.meituan.net/shaitu/312de7b351f66e217e9d69a75dd3bb8f87841.jpg'}]"
项目效果今天是带妈妈一起来医院打除皱针我以前有在这边做过水光针效果挺好的所有我就买了一个除皱针准备带妈妈一起来打因为正好美团上搞活动因为很划算商户服务医院的服务很好要做皮肤项目一般都是在这边做因为真的小姐姐什么的都很好很热情每次做项目也不用等好久想改善的问题主要是想改善一下皱纹和皮肤的补水情况医生操作医生很专业很细心不痛有敷麻药术中感受一点都不疼一下就完了李院长打的绝绝子强烈推荐鹏程医院专业又细心强烈推荐噢,"[{'id': 1832266989, 'url': 'http://p1.meituan.net/shaitu/214b500f4a1a9912c8925192306115ad231083.jpg'}, {'id': 1832186422, 'url': 'http://p0.meituan.net/shaitu/96bf9d2781b883cda88f2053ae8e9648380628.jpg'}, {'id': 1832025318, 'url': 'http://p1.meituan.net/shaitu/83019d5e2d850cc7c6ba62d2ab67e64c380748.jpg'}, {'id': 1832266990, 'url': 'http://p0.meituan.net/shaitu/73b52df57324a19424aeb0f6158b1b9e334199.jpg'}, {'id': 1832186421, 'url': 'http://p0.meituan.net/shaitu/c8c59981fd9cb48dfc012cb79b3bd9fe558865.jpg'}, {'id': 1832339019, 'url': 'http://p0.meituan.net/shaitu/e2c05d26de7402e9fee7ae4e2e23c7c3284313.jpg'}, {'id': 1832025319, 'url': 'http://p1.meituan.net/shaitu/48270981fd669f0fdbc3e09cb63da9c6305016.jpg'}, {'id': 1832025320, 'url': 'http://p0.meituan.net/shaitu/d67cd99438b7dc085cb8fc1713aadc72318590.jpg'}]"
垃圾黑医院技术都是忽悠顾客交钱后什么都不管不问从进医院开始就觉得乱乱的整个医院跟传销一样让顾客介绍朋友来做项目这种垃圾医院谁会介绍呢总之就是我见过最差的整形医院分享给要来这家医院的小姐姐们避免再被骗,[]
项目体验过程想通过本次医美补水整个过程持续了二十分钟过程中打的不疼没有用麻药体验后效果刚做完的时候不会泛红体验完到现在效果还好吧商户相关信息在咨询和接待过程中感觉服务还行,[]
见完医生抽完血马上手术了来了一个顾问说我不合适做埋线抽了三管血其他医院都抽一管浪费我的时间问她就是一句话我们医院就是这样的言下之意是投诉也没用啰没见过这么无理的医院这是黑社会吗,"[{'id': 1821777274, 'url': 'http://p0.meituan.net/shaitu/1b61875e066ea61b7c3a98122b25a97f1366726.jpg'}, {'id': 1821610289, 'url': 'http://p1.meituan.net/shaitu/2bd0d4a16177b0054e3605951ca1f6f51527299.jpg'}]"
,[]
